TYPE;CONF_PATH;MODULE;VERSION
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/package.json;connect-mongo;~0.8.2
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/package.json;express-session;~1.11.3
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/package.json;moment;~2.22.0
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/package.json;mongoose;~4.3.4
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/package.json;underscore;~1.8.3
NPM;/opt/centrale-datacore/Development/Service_Authentification/NodeJS/Service/authentification/package.json;bcrypt;~1.0.3
NPM;/opt/centrale-datacore/Development/Service_Authentification/NodeJS/Service/authentification/package.json;mongoose;~4.3.4
NPM;/opt/centrale-datacore/Development/Service_Authentification/NodeJS/Service/authentification/package.json;underscore;~1.8.3
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/package.json;jwt-simple;~0.2.0
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/package.json;node.extend;~1.1.2
NPM;/opt/centrale-datacore/Development/Service_Authentification/UnitTests/MongoDB/package.json;password-hash;~1.2.2
NPM;/opt/centrale-datacore/Development/Service_Card/NodeJS/Service/card/package.json;mongoose;~4.3.4
NPM;/opt/centrale-datacore/Development/Service_Card/NodeJS/Service/card/package.json;underscore;~1.8.3
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/package.json;jwt-simple;~0.2.0
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/package.json;node.extend;~1.1.2
NPM;/opt/centrale-datacore/Development/Service_Card/UnitTests/MongoDB/package.json;password-hash;~1.2.2
NPM;/opt/centrale-datacore/Development/Service_PasswordReset/NodeJS/Service/passwordreset/package.json;mongoose;~4.3.4
NPM;/opt/centrale-datacore/Development/Service_PasswordReset/NodeJS/Service/passwordreset/package.json;password-hash;~1.2.2
NPM;/opt/centrale-datacore/Development/Service_PasswordReset/NodeJS/Service/passwordreset/package.json;underscore;~1.8.3
NPM;/opt/centrale-datacore/Development/Module_ToolBox/NodeJS/Module/toolbox/package.json;request;~2.58.0
NPM;/opt/centrale-datacore/Development/Module_ToolBox/NodeJS/Module/toolbox/package.json;sha512;~0.0.1
NPM;/opt/centrale-datacore/Development/Service_Alert/NodeJS/Service/alert/package.json;mongoose;~4.3.4
NPM;/opt/centrale-datacore/Development/Service_Alert/NodeJS/Service/alert/package.json;underscore;~1.8.3
NPM;/opt/centrale-datacore/Development/Service_Alert/UnitTests/MongoDB/package.json;jwt-simple;~0.2.0
NPM;/opt/centrale-datacore/Development/Service_Alert/UnitTests/MongoDB/package.json;node.extend;~1.1.2
NPM;/opt/centrale-datacore/Development/Service_Alert/UnitTests/MongoDB/package.json;password-hash;~1.2.2
NPM;/opt/centrale-datacore/Development/Service_Provider/NodeJS/Service/provider/package.json;moment;~2.22.0
NPM;/opt/centrale-datacore/Development/Service_Provider/NodeJS/Service/provider/package.json;mongoose;~4.3.4
NPM;/opt/centrale-datacore/Development/Service_Provider/NodeJS/Service/provider/package.json;underscore;~1.8.3
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/package.json;jwt-simple;~0.2.0
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/package.json;node.extend;~1.1.2
NPM;/opt/centrale-datacore/Development/Service_Provider/UnitTests/MongoDB/package.json;password-hash;~1.2.2
NPM;/opt/centrale-datacore/Development/Service_Group/NodeJS/Service/group/package.json;mongoose;~4.3.4
NPM;/opt/centrale-datacore/Development/Service_Group/NodeJS/Service/group/package.json;underscore;~1.8.3
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/package.json;jwt-simple;~0.2.0
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/package.json;node.extend;~1.1.2
NPM;/opt/centrale-datacore/Development/Service_Group/UnitTests/MongoDB/package.json;password-hash;~1.2.2
NPM;/opt/centrale-datacore/Development/Module_FloodProtection/NodeJS/Module/floodprotection/package.json;hash.js;~1.1.3
NPM;/opt/centrale-datacore/Development/Module_FloodProtection/NodeJS/Module/floodprotection/package.json;node.extend;~2.0.0
NPM;/opt/centrale-datacore/Development/Module_FloodProtection/NodeJS/Module/floodprotection/package.json;underscore;~1.8.3
NPM;/opt/centrale-datacore/Development/Module_FloodProtection/NodeJS/Module/floodprotection/package.json;util;~0.10.3
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/package.json;express;~4.12.3
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/package.json;formidable;~1.0.17
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/package.json;fs;~0.0.2
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/package.json;mongoose;~4.3.4
NPM;/opt/centrale-datacore/Development/Service_Picture/NodeJS/Service/picture/package.json;underscore;~1.8.3
