TYPE;CONF_PATH;VERSION
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/auto-reload-brunch/package.json;1.7.8
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/bower/package.json;1.3.12
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/brunch/package.json;1.7.20
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/clean-css-brunch/package.json;1.7.2
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/coffee-script-brunch/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/css-brunch/package.json;1.7.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/jade-ngtemplates-brunch/package.json;1.7.8
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/jade/package.json;1.11.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/jade-pages-brunch/package.json;1.7.9
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/javascript-brunch/package.json;1.7.1
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/karma-coffee-preprocessor/package.json;0.2.1
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/karma-ng-scenario/package.json;0.1.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/karma/package.json;0.12.37
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/less-brunch/package.json;1.7.2
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/ng-annotate-uglify-js-brunch/package.json;1.7.4
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/nib/package.json;1.1.2
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/front/node_modules/stylus-brunch/package.json;1.7.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/node_modules/csvwriter/package.json;1.1.0
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/node_modules/formidable/package.json;1.0.17
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/node_modules/fs/package.json;0.0.2
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Application_Administrator/NodeJS/Application/administrator/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/node_modules/connect-mongo/package.json;0.8.2
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/node_modules/express-session/package.json;1.11.3
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/node_modules/moment/package.json;2.10.6
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/node_modules/mongoose/package.json;4.3.7
NPM;/opt/centrale-datacore/Development/Application_Checker/NodeJS/Application/checker/node_modules/underscore/package.json;1.8.3
NPM;/opt/centrale-datacore/Development/Module_ApplicationCore/NodeJS/Module/applicationcore/node_modules/body-parser/package.json;1.18.2
